id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3097625,1,2016-01-22 16:01:00,2016-01-22 16:15:16,2,-73.97746276855469,40.7613525390625,-73.95573425292969,40.772396087646484,N,856
id3196697,1,2016-01-28 07:20:18,2016-01-28 07:40:16,1,-73.98524475097656,40.75959777832031,-73.99615478515625,40.72945785522461,N,1198
id0224515,2,2016-01-31 00:48:27,2016-01-31 00:53:30,1,-73.98342895507812,40.7500114440918,-73.97383880615234,40.74980163574219,N,303
id3370903,1,2016-01-14 11:46:43,2016-01-14 12:25:33,2,-74.00027465820312,40.74786376953125,-73.86485290527344,40.77039337158203,N,2330
id2763851,2,2016-02-20 13:21:00,2016-02-20 13:45:56,1,-73.95218658447266,40.772220611572266,-73.9920425415039,40.74932098388672,N,1496
id0904926,1,2016-02-20 19:17:44,2016-02-20 19:33:19,4,-73.97344207763672,40.75189971923828,-73.98480224609375,40.76243209838867,N,935
id2026293,1,2016-02-25 01:16:23,2016-02-25 01:31:27,1,-73.9871597290039,40.68777847290039,-73.9115219116211,40.68180847167969,N,904
id1349988,1,2016-01-28 20:16:05,2016-01-28 20:21:36,1,-74.0028076171875,40.7338752746582,-73.9968032836914,40.743770599365234,N,331
id3218692,2,2016-02-17 16:43:27,2016-02-17 16:54:41,5,-73.98147583007812,40.77408218383789,-73.97216796875,40.76400375366211,N,674
id2562128,1,2016-02-29 21:04:49,2016-02-29 21:15:33,1,-73.98988342285156,40.752315521240234,-73.98212432861328,40.776634216308594,N,644
id0810286,2,2016-01-13 18:17:30,2016-01-13 18:27:53,1,-74.00782012939453,40.74089050292969,-73.98851013183594,40.73432922363281,N,623
id2062130,2,2016-01-25 12:54:01,2016-01-25 13:41:20,1,-73.78131103515625,40.64495086669922,-73.9778823852539,40.7571907043457,N,2839
id1260801,2,2016-02-15 20:34:01,2016-02-15 20:43:30,2,-73.98839569091797,40.754554748535156,-73.99530029296875,40.7333984375,N,569
id1951516,1,2016-02-04 02:37:04,2016-02-04 02:42:26,1,-73.98332214355469,40.76493835449219,-73.97654724121094,40.76602554321289,N,322
id2951105,2,2016-02-27 01:09:21,2016-02-27 01:13:38,2,-73.94573974609375,40.79022979736328,-73.93496704101562,40.796470642089844,N,257
id0215802,2,2016-02-03 11:44:48,2016-02-03 11:53:58,1,-73.96983337402344,40.762550354003906,-73.978759765625,40.7783203125,N,550
id2796897,2,2016-01-02 15:43:21,2016-01-02 15:49:43,3,-73.97805786132812,40.758880615234375,-73.97762298583984,40.75453186035156,N,382
id3097719,2,2016-01-12 15:52:35,2016-01-12 16:00:13,1,-73.97091674804688,40.764801025390625,-73.95616149902344,40.78163146972656,N,458
id3316815,2,2016-02-14 11:04:20,2016-02-14 11:30:18,1,-73.99764251708984,40.76628875732422,-74.01091003417969,40.70989990234375,N,1558
id2960996,2,2016-01-29 04:19:33,2016-01-29 04:28:32,5,-73.98828887939453,40.720279693603516,-73.95223999023438,40.69498062133789,N,539
id3571405,2,2016-02-02 07:42:44,2016-02-02 08:21:54,1,-73.86280059814453,40.76878356933594,-73.99285888671875,40.75303268432617,N,2350
id0445553,2,2016-02-11 23:12:08,2016-02-11 23:21:21,1,-74.00454711914062,40.70832061767578,-73.99922180175781,40.71889114379883,N,553
id2638986,1,2016-01-01 01:48:09,2016-01-01 02:11:57,2,-73.97895050048828,40.77732467651367,-73.93000030517578,40.856632232666016,N,1428
id3798457,2,2016-02-24 22:47:03,2016-02-24 22:56:52,1,-73.98246002197266,40.7723503112793,-73.96944427490234,40.760009765625,N,589
