ip,app,device,os,channel,click_time,is_attributed
83230,3,1,13,379,2017-11-06 14:32:21,0
17357,3,1,19,379,2017-11-06 14:33:34,0
35810,3,1,13,379,2017-11-06 14:34:12,0
45745,14,1,13,478,2017-11-06 14:34:52,0
161007,3,1,13,379,2017-11-06 14:35:08,0
18787,3,1,16,379,2017-11-06 14:36:26,0
103022,3,1,23,379,2017-11-06 14:37:44,0
114221,3,1,19,379,2017-11-06 14:37:59,0
165970,3,1,13,379,2017-11-06 14:38:10,0
74544,64,1,22,459,2017-11-06 14:38:23,0
172522,3,1,25,379,2017-11-06 14:38:27,0
105861,3,1,13,379,2017-11-06 14:38:51,0
210962,3,1,19,379,2017-11-06 14:39:29,0
124979,3,1,18,379,2017-11-06 14:40:16,0
38816,3,1,18,379,2017-11-06 14:40:39,0
80447,3,1,19,379,2017-11-06 14:40:51,0
134575,3,1,13,379,2017-11-06 14:43:10,0
57576,3,1,19,379,2017-11-06 14:43:14,0
7755,3,1,13,379,2017-11-06 14:43:25,0
91749,3,1,19,379,2017-11-06 14:43:51,0
50694,3,1,18,379,2017-11-06 14:44:02,0
111385,3,1,18,379,2017-11-06 14:44:15,0
125222,14,1,3,478,2017-11-06 14:44:51,0
191759,3,1,13,379,2017-11-06 14:44:51,0
53418,3,1,17,379,2017-11-06 14:44:52,0
183168,3,1,19,379,2017-11-06 14:47:49,0
47902,3,1,17,379,2017-11-06 14:48:07,0
209663,3,1,13,379,2017-11-06 14:48:55,0
129614,3,1,20,379,2017-11-06 14:49:36,0
208347,3,1,19,379,2017-11-06 14:49:38,0
73503,3,1,18,379,2017-11-06 14:49:43,0
28739,3,1,13,379,2017-11-06 14:50:29,0
206897,3,1,13,379,2017-11-06 14:51:52,0
30986,3,1,19,379,2017-11-06 14:52:13,0
2805,3,1,16,379,2017-11-06 14:52:58,0
103175,18,1,17,376,2017-11-06 14:53:23,0
23550,3,1,13,379,2017-11-06 14:53:39,0
29045,64,1,13,459,2017-11-06 14:54:59,0
74715,3,1,19,379,2017-11-06 14:55:25,0
148454,3,1,19,379,2017-11-06 14:55:32,0
31529,3,1,15,379,2017-11-06 14:56:11,0
16760,3,1,15,379,2017-11-06 14:56:12,0
84644,3,1,19,379,2017-11-06 14:56:49,0
121942,3,1,13,379,2017-11-06 14:57:33,0
25236,3,1,18,379,2017-11-06 14:57:40,0
38036,3,1,19,379,2017-11-06 14:57:40,0
129614,3,1,19,379,2017-11-06 14:57:50,0
128855,3,1,13,379,2017-11-06 14:58:16,0
166030,3,1,19,379,2017-11-06 15:02:51,0
166862,3,1,13,379,2017-11-06 15:02:52,0
153492,3,1,17,379,2017-11-06 15:03:11,0
88150,3,1,13,379,2017-11-06 15:04:04,0
108942,3,1,19,379,2017-11-06 15:04:28,0
55774,3,1,13,379,2017-11-06 15:05:05,0
64886,3,1,13,379,2017-11-06 15:05:17,0
192796,3,1,19,379,2017-11-06 15:07:24,0
32450,3,1,17,379,2017-11-06 15:07:29,0
38763,3,1,13,379,2017-11-06 15:08:04,0
90452,64,1,17,459,2017-11-06 15:08:11,0
147605,3,1,19,379,2017-11-06 15:08:24,0
38683,3,1,19,379,2017-11-06 15:08:26,0
199564,3,1,13,379,2017-11-06 15:09:44,0
1025,3,1,17,379,2017-11-06 15:10:55,0
61678,3,1,18,379,2017-11-06 15:11:15,0
107899,6,1,13,459,2017-11-06 15:12:43,0
89489,3,1,13,379,2017-11-06 15:13:23,0
33195,3,1,13,379,2017-11-06 15:13:42,0
164537,58,1,19,120,2017-11-06 15:14:35,0
36213,64,1,22,459,2017-11-06 15:14:48,0
6242,3,1,17,379,2017-11-06 15:15:52,0
129614,3,1,15,379,2017-11-06 15:16:47,0
123722,3,1,18,379,2017-11-06 15:18:58,0
158417,3,1,13,379,2017-11-06 15:19:19,0
78349,3,1,13,379,2017-11-06 15:20:03,0
89489,3,1,13,379,2017-11-06 15:20:38,0
99641,64,1,10,459,2017-11-06 15:21:24,0
3653,3,1,18,379,2017-11-06 15:21:34,0
209663,3,1,19,379,2017-11-06 15:22:08,0
88075,3,1,19,379,2017-11-06 15:24:03,0
108881,3,1,19,379,2017-11-06 15:25:15,0
82650,3,1,25,379,2017-11-06 15:25:32,0
172483,3,1,13,379,2017-11-06 15:26:02,0
191894,3,1,18,379,2017-11-06 15:29:16,0
109591,3,1,19,379,2017-11-06 15:30:16,0
3425,3,1,17,379,2017-11-06 15:31:48,0
72078,3,1,19,379,2017-11-06 15:33:52,0
100224,3,1,13,379,2017-11-06 15:36:40,0
197717,3,1,19,379,2017-11-06 15:37:18,0
108942,3,1,13,379,2017-11-06 15:37:28,0
203397,3,1,19,379,2017-11-06 15:38:24,0
109591,3,1,19,379,2017-11-06 15:39:16,0
116013,3,1,13,379,2017-11-06 15:39:18,0
42102,3,1,13,379,2017-11-06 15:39:47,0
110980,64,1,49,459,2017-11-06 15:40:30,0
41981,3,1,13,379,2017-11-06 15:40:32,0
44932,3,1,19,379,2017-11-06 15:40:33,0
63839,3,1,19,379,2017-11-06 15:40:37,0
62129,3,1,19,379,2017-11-06 15:40:40,0
199328,64,1,22,459,2017-11-06 15:40:41,0
127226,3,1,13,379,2017-11-06 15:40:56,0
5323,64,1,13,459,2017-11-06 15:40:56,0
135659,3,1,13,379,2017-11-06 15:40:59,0
129733,3,1,13,379,2017-11-06 15:41:02,0
204158,35,1,13,21,2017-11-06 15:41:07,1
35610,3,1,19,379,2017-11-06 15:41:07,0
89946,3,1,13,379,2017-11-06 15:41:07,0
158472,3,1,18,379,2017-11-06 15:41:07,0
182500,3,1,16,379,2017-11-06 15:41:09,0
191321,64,1,10,459,2017-11-06 15:41:13,0
92204,3,1,25,379,2017-11-06 15:41:14,0
33390,3,1,13,379,2017-11-06 15:41:17,0
32412,3,1,13,379,2017-11-06 15:41:18,0
88180,3,1,20,379,2017-11-06 15:41:20,0
143257,3,1,15,379,2017-11-06 15:41:21,0
51590,3,1,19,379,2017-11-06 15:41:21,0
90590,64,1,14,459,2017-11-06 15:41:27,0
7426,3,1,13,379,2017-11-06 15:41:29,0
120471,3,1,19,379,2017-11-06 15:41:29,0
106437,3,1,13,379,2017-11-06 15:41:30,0
78119,64,1,14,459,2017-11-06 15:41:32,0
37714,3,1,17,379,2017-11-06 15:41:32,0
176414,82,1,57,224,2017-11-06 15:41:34,0
53964,3,1,18,379,2017-11-06 15:41:39,0
62094,3,1,19,379,2017-11-06 15:41:40,0
12461,3,1,13,379,2017-11-06 15:41:41,0
147537,3,1,25,379,2017-11-06 15:41:45,0
44033,3,1,8,379,2017-11-06 15:41:49,0
54039,64,1,13,459,2017-11-06 15:41:49,0
191797,3,1,15,379,2017-11-06 15:41:50,0
155911,3,1,19,379,2017-11-06 15:41:51,0
191846,3,1,20,379,2017-11-06 15:41:52,0
31038,3,1,19,379,2017-11-06 15:41:52,0
108881,3,1,13,379,2017-11-06 15:41:58,0
119369,3,1,16,379,2017-11-06 15:41:58,0
139298,3,1,13,379,2017-11-06 15:41:59,0
194040,14,1,4,478,2017-11-06 15:42:08,0
71367,14,1,13,478,2017-11-06 15:42:08,0
73038,3,1,13,379,2017-11-06 15:42:10,0
28578,3,1,15,379,2017-11-06 15:42:12,0
44229,3,1,13,379,2017-11-06 15:42:18,0
83252,3,1,16,379,2017-11-06 15:42:19,0
191880,3,1,18,379,2017-11-06 15:42:20,0
166616,3,1,19,379,2017-11-06 15:42:22,0
3437,6,1,13,459,2017-11-06 15:42:32,0
97553,3,1,13,379,2017-11-06 15:42:32,0
43668,3,1,19,379,2017-11-06 15:42:37,0
53964,3,1,18,379,2017-11-06 15:42:38,0
166579,64,1,22,459,2017-11-06 15:42:42,0
63657,3,1,19,379,2017-11-06 15:42:45,0
85476,3,1,18,379,2017-11-06 15:42:48,0
172498,3,1,20,379,2017-11-06 15:42:48,0
194520,3,1,19,379,2017-11-06 15:42:49,0
106524,3,1,8,379,2017-11-06 15:42:52,0
74815,3,1,13,379,2017-11-06 15:42:55,0
