ip,app,device,os,channel,click_time,is_attributed
106385,12,1,19,178,2017-11-08 06:30:54,0
114066,3,1,13,489,2017-11-07 07:51:29,0
189805,12,1,23,105,2017-11-07 12:30:07,0
107100,18,1,20,107,2017-11-08 04:31:19,0
5314,3,1,19,409,2017-11-07 11:21:29,0
48996,3,1,19,205,2017-11-07 03:38:20,0
83698,26,1,19,266,2017-11-09 05:01:42,0
5147,22,1,15,116,2017-11-09 08:38:30,0
145086,12,1,22,242,2017-11-07 06:30:30,0
61400,3,1,18,137,2017-11-08 23:58:43,0
66371,23,1,19,153,2017-11-07 14:29:15,0
73339,11,1,19,487,2017-11-09 02:44:56,0
208618,14,1,13,439,2017-11-08 20:34:03,0
83260,12,1,13,265,2017-11-08 08:33:44,0
7567,1,1,53,150,2017-11-07 16:02:32,0
3994,9,1,19,244,2017-11-09 10:59:09,0
45362,15,1,28,315,2017-11-07 16:38:09,0
85172,15,1,13,315,2017-11-08 23:12:06,0
137258,21,1,8,232,2017-11-09 01:49:02,0
103132,1,1,22,377,2017-11-07 01:10:54,0
25039,1,1,32,452,2017-11-09 12:12:18,0
19537,3,1,47,442,2017-11-07 03:20:32,0
98380,25,1,9,259,2017-11-07 14:45:33,0
13963,18,1,3,134,2017-11-07 02:39:45,0
86767,9,1,8,244,2017-11-08 04:00:35,0
18994,15,1,19,245,2017-11-06 23:37:20,0
211425,2,1,41,219,2017-11-07 02:58:40,0
38300,12,1,19,178,2017-11-07 23:29:34,0
75504,2,1,19,237,2017-11-08 07:25:23,0
90607,14,1,13,379,2017-11-09 05:01:14,0
120361,14,1,14,401,2017-11-07 07:21:39,0
100408,12,1,19,140,2017-11-09 05:05:13,0
196790,3,1,19,137,2017-11-08 08:44:16,0
77048,12,1,36,265,2017-11-08 02:34:34,0
87653,18,1,19,121,2017-11-09 00:34:39,0
112442,14,1,18,379,2017-11-07 20:15:17,0
4573,2,1,19,236,2017-11-09 06:52:43,0
112215,14,1,13,401,2017-11-07 03:41:09,0
17149,12,1,22,140,2017-11-07 13:24:16,0
8964,18,2,18,30,2017-11-09 07:12:37,0
79827,15,1,18,245,2017-11-07 14:48:18,0
37161,18,1,13,121,2017-11-08 10:36:43,0
118930,94,1,19,361,2017-11-08 02:38:37,0
70551,21,1,53,128,2017-11-07 00:53:50,0
280687,3,1,17,135,2017-11-09 08:10:36,0
24951,9,1,37,466,2017-11-08 12:30:06,0
17077,26,1,31,477,2017-11-08 23:49:50,0
88772,14,1,22,489,2017-11-07 04:25:40,0
127628,12,1,13,259,2017-11-09 08:33:05,0
166206,9,1,13,232,2017-11-09 12:46:34,0
59763,20,1,19,478,2017-11-09 02:38:37,0
31463,12,1,16,328,2017-11-09 10:12:29,0
87349,12,1,13,328,2017-11-07 21:04:49,0
7664,3,1,47,280,2017-11-07 04:20:35,0
32130,3,1,53,280,2017-11-07 01:11:53,0
116785,26,1,13,121,2017-11-07 12:44:13,0
213380,29,1,19,347,2017-11-09 12:58:44,0
7210,3,1,10,280,2017-11-08 11:33:38,0
120753,9,1,8,334,2017-11-08 05:20:28,0
31572,26,1,19,266,2017-11-09 14:14:48,0
120962,12,1,13,245,2017-11-06 17:04:32,0
24067,2,1,16,237,2017-11-09 02:47:07,0
53964,3,1,18,280,2017-11-08 02:40:50,0
112816,13,1,13,477,2017-11-09 01:42:38,0
11852,1,1,19,125,2017-11-07 10:52:55,0
71093,3,1,30,173,2017-11-07 12:15:50,0
65716,23,1,13,153,2017-11-09 03:05:33,0
95962,3,1,41,409,2017-11-08 19:37:22,0
24278,15,1,19,430,2017-11-07 06:41:57,0
107513,22,1,13,496,2017-11-07 08:04:53,0
109537,26,1,19,266,2017-11-07 05:49:11,0
107954,9,1,70,234,2017-11-06 16:54:21,0
5314,3,1,6,424,2017-11-09 00:57:56,0
89680,9,1,34,244,2017-11-07 03:20:35,0
176923,3,1,19,205,2017-11-07 00:37:21,0
73487,12,1,12,326,2017-11-08 05:21:43,0
5314,2,1,2,477,2017-11-09 00:14:56,0
97773,12,1,25,140,2017-11-09 08:07:01,0
112291,15,1,13,412,2017-11-07 01:45:21,0
74013,18,1,19,121,2017-11-09 12:59:53,0
45275,2,1,13,469,2017-11-08 07:50:57,0
83659,15,1,19,278,2017-11-07 04:11:17,0
12505,2,1,19,205,2017-11-07 02:45:04,0
203175,2,1,19,435,2017-11-07 15:04:32,0
66033,18,1,18,107,2017-11-09 12:03:17,0
20215,12,2,17,409,2017-11-09 01:58:38,0
88295,14,1,6,439,2017-11-09 04:04:21,0
75885,8,1,10,145,2017-11-08 11:48:36,0
23035,9,1,13,445,2017-11-07 04:17:06,0
46677,9,1,19,107,2017-11-09 06:43:19,0
123596,1,1,2,153,2017-11-09 09:43:28,0
179026,18,1,13,107,2017-11-07 03:10:50,0
258385,11,1,19,137,2017-11-09 07:17:26,0
80140,12,1,27,145,2017-11-08 23:36:31,0
41725,9,1,19,466,2017-11-08 09:35:36,0
242240,15,1,13,480,2017-11-07 23:33:12,0
84916,12,1,13,259,2017-11-08 08:17:14,0
66767,1,1,13,17,2017-11-07 00:57:08,0
332563,9,1,19,334,2017-11-08 16:56:04,0
73516,9,2,13,453,2017-11-09 11:11:28,0
108103,2,1,13,477,2017-11-07 07:43:45,0
195332,25,1,15,259,2017-11-07 12:46:10,0
53418,2,1,12,377,2017-11-06 21:54:17,0
104512,9,1,10,258,2017-11-08 10:00:17,0
114276,9,1,19,442,2017-11-08 09:56:56,0
74816,27,1,13,153,2017-11-08 02:30:13,0
98521,15,1,16,315,2017-11-08 11:28:36,0
119930,2,1,19,219,2017-11-07 18:25:23,0
144687,21,1,19,128,2017-11-07 15:37:12,0
60348,9,1,13,445,2017-11-07 02:47:47,0
112302,7,1,35,101,2017-11-09 12:54:07,0
120883,15,1,8,430,2017-11-08 08:19:05,0
44744,3,1,13,421,2017-11-09 11:13:33,0
209929,25,1,13,259,2017-11-07 12:15:41,0
55569,1,1,13,150,2017-11-09 07:00:08,0
141432,9,1,19,334,2017-11-09 03:28:29,0
267177,2,1,13,219,2017-11-08 09:32:57,0
60083,3,1,9,424,2017-11-09 03:47:14,0
193346,18,1,18,107,2017-11-08 00:48:47,0
93021,12,1,19,265,2017-11-07 01:23:56,0
65253,13,2,9,400,2017-11-07 08:07:07,0
37752,18,1,28,439,2017-11-08 11:14:02,0
26927,9,1,13,134,2017-11-07 00:23:44,0
5185,9,1,32,466,2017-11-09 08:23:48,0
106294,55,1,13,453,2017-11-07 02:09:04,0
27090,3,1,15,442,2017-11-08 09:26:50,0
171274,26,1,15,266,2017-11-09 12:12:39,0
64609,14,1,17,463,2017-11-09 09:45:50,0
208347,15,1,13,111,2017-11-09 12:27:57,0
126786,15,1,53,245,2017-11-07 15:16:22,0
69503,12,1,19,265,2017-11-08 11:19:01,0
41025,14,1,17,489,2017-11-07 10:06:56,0
47168,12,1,14,265,2017-11-08 06:30:13,0
9844,9,2,18,258,2017-11-09 14:12:32,0
43243,12,1,18,328,2017-11-07 15:26:52,0
7304,3,1,19,135,2017-11-09 14:28:48,0
118903,28,1,4,135,2017-11-08 03:11:58,0
173678,29,1,13,343,2017-11-07 10:38:47,0
118647,26,1,18,266,2017-11-09 15:01:35,0
28089,12,1,14,178,2017-11-08 12:29:02,0
38233,18,1,19,107,2017-11-09 02:29:18,0
9849,15,1,19,315,2017-11-07 12:57:41,0
91536,2,2,6,205,2017-11-08 15:21:56,0
77112,2,1,17,236,2017-11-09 08:28:34,0
44926,18,1,19,134,2017-11-07 04:11:24,0
201786,12,1,13,497,2017-11-09 04:09:26,0
86231,11,1,14,481,2017-11-09 09:27:29,0
6395,3,1,13,379,2017-11-06 23:26:20,0
79851,12,1,19,328,2017-11-06 19:55:20,0
72936,151,0,76,347,2017-11-07 13:40:45,0
